Question Source,Question ID,Original Code,Prompt Version,Output Code,BLEU-3,CodeBLEU,Rouge 1-r,Rouge 1-p,Rouge 1-f,Rouge 2-r,Rouge 2-p,Rouge 2-f,Rouge L-r,Rouge L-p,Rouge L-f,,,BLEU-3,Rouge 1-r,Rouge 1-p,Rouge 1-f,Rouge 2-r,Rouge 2-p,Rouge 2-f,Rouge L-r,Rouge L-p,Rouge L-f
GPT,13,"class BookManagement:
    def __init__(self):
        self.inventory = {}

    def add_book(self, title, quantity=1):
        if title in self.inventory:
            self.inventory[title] += quantity
        else:
            self.inventory[title] = quantity

    def remove_book(self, title, quantity):
        if title not in self.inventory or self.inventory[title] < quantity:
            raise False
        self.inventory[title] -= quantity
        if self.inventory[title] == 0:
            del (self.inventory[title])

    def view_inventory(self):
        return self.inventory

    def view_book_quantity(self, title):
        if title not in self.inventory:
            return 0
        return self.inventory[title]",ZeroShot,"```python
class BookManagement:
    def __init__(self):
        """"""
        Initialize the inventory of Book Manager.
        """"""
        self.inventory = {}  # Dictionary to hold book titles and their quantities

    def add_book(self, title, quantity=1):
        """"""
        Add one or several books to inventory which is sorted by book title.
        """"""
        if title in self.inventory:
            self.inventory[title] += quantity  # Increase quantity if book already exists
        else:
            self.inventory[title] = quantity  # Add new book with specified quantity

    def remove_book(self, title, quantity):
        """"""
        Remove one or several books from inventory which is sorted by book title.
        Raise False while get invalid input.
        """"""
        if title in self.inventory:
            if self.inventory[title] >= quantity:
                self.inventory[title] -= quantity  # Decrease quantity if sufficient stock exists
                if self.inventory[title] == 0:
                    del self.inventory[title]  # Remove book from inventory if quantity is zero
            else:
                raise ValueError(""Not enough books in inventory to remove the specified quantity."")  # Raise error if insufficient stock
        else:
            raise ValueError(""Book not found in inventory."")  # Raise error if book does not exist

    def view_inventory(self):
        """"""
        Get the inventory of the Book Management.
        :return self.inventory: dictionary, {title(str): quantity(int), ...}
        """"""
        return self.inventory  # Return the entire inventory dictionary

    def view_book_quantity(self, title):
        """"""
        Get the quantity of a book.
        :return quantity: the quantity of this book title. return 0 when the title does not exist in self.inventory
        """"""
        return self.inventory.get(title, 0)  # Return quantity if book exists, otherwise return 0
```",0.088888889,0.116433486,0.921052632,0.333333333,0.489510486,0.620689655,0.189473684,0.290322577,0.921052632,0.333333333,0.489510486,,,,,,,,,,,,
GPT,14,"import sqlite3

class BookManagementDB:
    def __init__(self, db_name):
        self.connection = sqlite3.connect(db_name)
        self.cursor = self.connection.cursor()
        self.create_table()

    def create_table(self):
        self.cursor.execute('''
            CREATE TABLE IF NOT EXISTS books (
                id INTEGER PRIMARY KEY,
                title TEXT,
                author TEXT,
                available INTEGER
            )
        ''')
        self.connection.commit()

    def add_book(self, title, author):
        self.cursor.execute('''
            INSERT INTO books (title, author, available)
            VALUES (?, ?, 1)
        ''', (title, author))
        self.connection.commit()

    def remove_book(self, book_id):
        self.cursor.execute('''
            DELETE FROM books WHERE id = ?
        ''', (book_id,))
        self.connection.commit()

    def borrow_book(self, book_id):
        self.cursor.execute('''
            UPDATE books SET available = 0 WHERE id = ?
        ''', (book_id,))
        self.connection.commit()

    def return_book(self, book_id):
        self.cursor.execute('''
            UPDATE books SET available = 1 WHERE id = ?
        ''', (book_id,))
        self.connection.commit()

    def search_books(self):
        self.cursor.execute('''
            SELECT * FROM books
        ''')
        books = self.cursor.fetchall()
        return books",ZeroShot,"```python
import sqlite3

class BookManagementDB:

    def __init__(self, db_name):
        """"""
        Initializes the class by creating a database connection and cursor, 
        and creates the book table if it does not already exist
        """"""
        self.conn = sqlite3.connect(db_name)  # Connect to the database
        self.cursor = self.conn.cursor()  # Create a cursor object
        self.create_table()  # Ensure the book table exists

    def create_table(self):
        """"""
        Creates the book table in the database if it does not already exist.
        """"""
        self.cursor.execute(""""""
            CREATE TABLE IF NOT EXISTS books (
                id INTEGER PRIMARY KEY AUTOINCREMENT,
                title TEXT NOT NULL,
                author TEXT NOT NULL,
                available INTEGER NOT NULL
            )
        """""")
        self.conn.commit()  # Save the changes

    def add_book(self, title, author):
        """"""
        Adds a book to the database with the specified title and author, 
        setting its availability to 1 as free to borrow.
        """"""
        self.cursor.execute(""""""
            INSERT INTO books (title, author, available) 
            VALUES (?, ?, 1)
        """""", (title, author))
        self.conn.commit()  # Save the changes

    def remove_book(self, book_id):
        """"""
        Removes a book from the database based on the given book ID.
        """"""
        self.cursor.execute(""""""
            DELETE FROM books WHERE id = ?
        """""", (book_id,))
        self.conn.commit()  # Save the changes

    def borrow_book(self, book_id):
        """"""
        Marks a book as borrowed in the database based on the given book ID.
        """"""
        self.cursor.execute(""""""
            UPDATE books SET available = 0 WHERE id = ?
        """""", (book_id,))
        self.conn.commit()  # Save the changes

    def return_book(self, book_id):
        """"""
        Marks a book as returned in the database based on the given book ID.
        """"""
        self.cursor.execute(""""""
            UPDATE books SET available = 1 WHERE id = ?
        """""", (book_id,))
        self.conn.commit()  # Save the changes

    def search_books(self):
        """"""
        Retrieves all books from the database and returns their information.
        return books: list[tuple], the information of all books in database
        """"""
        self.cursor.execute(""""""
            SELECT * FROM books
        """""")
        books = self.cursor.fetchall()  # Fetch all results
        return books  # Return the list of books
```",0.16722408,0.198352543,0.924242424,0.465648855,0.619289336,0.646464646,0.293577982,0.403785485,0.924242424,0.465648855,0.619289336,,,,,,,,,,,,
GPT,15,"class BoyerMooreSearch:
    def __init__(self, text, pattern):
        self.text, self.pattern = text, pattern
        self.textLen, self.patLen = len(text), len(pattern)

    def match_in_pattern(self, char):
        for i in range(self.patLen - 1, -1, -1):
            if char == self.pattern[i]:
                return i
        return -1

    def mismatch_in_text(self, currentPos):
        for i in range(self.patLen - 1, -1, -1):
            if self.pattern[i] != self.text[currentPos + i]:
                return currentPos + i
        return -1

    def bad_character_heuristic(self):
        positions = []
        for i in range(self.textLen - self.patLen + 1):
            mismatch_index = self.mismatch_in_text(i)
            if mismatch_index == -1:
                positions.append(i)
            else:
                match_index = self.match_in_pattern(self.text[mismatch_index])
                i = (mismatch_index - match_index)
        return positions",ZeroShot,"```python
class BoyerMooreSearch:
    def __init__(self, text, pattern):
        """"""
        Initializes the BoyerMooreSearch class with the given text and pattern.
        """"""
        self.text = text
        self.pattern = pattern
        self.pattern_length = len(pattern)
        self.text_length = len(text)
        self.bad_char_table = self.create_bad_char_table()

    def match_in_pattern(self, char):
        """"""
        Finds the rightmost occurrence of a character in the pattern.
        :return: The index of the rightmost occurrence of the character in the pattern, int.
        """"""
        for i in range(self.pattern_length - 1, -1, -1):
            if self.pattern[i] == char:
                return i
        return -1

    def mismatch_in_text(self, currentPos):
        """"""
        Determines the position of the first mismatch between the pattern and the text.
        :return: The position of the first mismatch between the pattern and the text, int, otherwise -1.
        """"""
        for i in range(self.pattern_length):
            if self.pattern[i] != self.text[currentPos + i]:
                return i
        return -1

    def create_bad_char_table(self):
        """"""
        Creates the bad character table used in the Boyer-Moore algorithm.
        :return: A dictionary with the rightmost occurrence of each character in the pattern.
        """"""
        bad_char_table = {}
        for i in range(self.pattern_length):
            bad_char_table[self.pattern[i]] = i
        return bad_char_table

    def bad_character_heuristic(self):
        """"""
        Finds all occurrences of the pattern in the text using the bad character heuristic.
        :return: A list of all positions of the pattern in the text, list.
        """"""
        results = []
        shift = 0

        while shift <= self.text_length - self.pattern_length:
            mismatch_index = self.mismatch_in_text(shift)

            if mismatch_index == -1:  # No mismatch found
                results.append(shift)
                shift += self.pattern_length
            else:
                # Calculate the shift using the bad character heuristic
                bad_char_index = self.match_in_pattern(self.text[shift + mismatch_index])
                if bad_char_index == -1:
                    shift += mismatch_index + 1
                else:
                    shift += max(1, mismatch_index - bad_char_index)

        return results
```

- The `__init__` method initializes the class with the given text and pattern and creates the bad character table.
- The `match_in_pattern` method finds the rightmost occurrence of a character in the pattern.
- The `mismatch_in_text` method determines the position of the first mismatch between the pattern and the text.
- The `create_bad_char_table` method creates a table for the bad character rule, storing the last occurrence of each character in the pattern.
- The `bad_character_heuristic` method finds all occurrences of the pattern in the text using the Boyer-Moore algorithm's bad character heuristic.",0.074712644,0.092996406,0.730769231,0.306451613,0.431818178,0.459770115,0.16194332,0.239520954,0.730769231,0.306451613,0.431818178,,,,,,,,,,,,
GPT,16,"class Calculator:
    def __init__(self):
        self.operators = {
            '+': lambda x, y: x + y,
            '-': lambda x, y: x - y,
            '*': lambda x, y: x * y,
            '/': lambda x, y: x / y,
            '^': lambda x, y: x ** y
        }

    def calculate(self, expression):
        operand_stack = []
        operator_stack = []
        num_buffer = ''

        for char in expression:
            if char.isdigit() or char == '.':
                num_buffer += char
            else:
                if num_buffer:
                    operand_stack.append(float(num_buffer))
                    num_buffer = ''

                if char in '+-*/^':
                    while (
                            operator_stack and
                            operator_stack[-1] != '(' and
                            self.precedence(operator_stack[-1]) >= self.precedence(char)
                    ):
                        operand_stack, operator_stack = self.apply_operator(operand_stack, operator_stack)

                    operator_stack.append(char)
                elif char == '(':
                    operator_stack.append(char)
                elif char == ')':
                    while operator_stack and operator_stack[-1] != '(':
                        operand_stack, operator_stack = self.apply_operator(operand_stack, operator_stack)

                    operator_stack.pop()

        if num_buffer:
            operand_stack.append(float(num_buffer))

        while operator_stack:
            operand_stack, operator_stack = self.apply_operator(operand_stack, operator_stack)

        return operand_stack[-1] if operand_stack else None

    def precedence(self, operator):
        precedences = {
            '+': 1,
            '-': 1,
            '*': 2,
            '/': 2,
            '^': 3
        }
        return precedences.get(operator, 0)

    def apply_operator(self, operand_stack, operator_stack):
        operator = operator_stack.pop()
        if operator == '^':
            operand2 = operand_stack.pop()
            operand1 = operand_stack.pop()
            result = self.operators[operator](operand1, operand2)
            operand_stack.append(result)
        else:
            operand2 = operand_stack.pop()
            operand1 = operand_stack.pop()
            result = self.operators[operator](operand1, operand2)
            operand_stack.append(result)
        return operand_stack, operator_stack",ZeroShot,na,0,3.05E-83,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
GPT,17,"from datetime import datetime, timedelta

class CalendarUtil:
    def __init__(self):
        self.events = []

    def add_event(self, event):
        self.events.append(event)

    def remove_event(self, event):
        if event in self.events:
            self.events.remove(event)

    def get_events(self, date):
        events_on_date = []
        for event in self.events:
            if event['date'].date() == date.date():
                events_on_date.append(event)
        return events_on_date

    def is_available(self, start_time, end_time):
        for event in self.events:
            if start_time < event['end_time'] and end_time > event['start_time']:
                return False
        return True

    def get_available_slots(self, date):
        available_slots = []
        start_time = datetime(date.year, date.month, date.day, 0, 0)
        end_time = datetime(date.year, date.month, date.day, 23, 59)

        while start_time < end_time:
            slot_end_time = start_time + timedelta(minutes=60)
            if self.is_available(start_time, slot_end_time):
                available_slots.append((start_time, slot_end_time))
            start_time += timedelta(minutes=60)


        return available_slots

    def get_upcoming_events(self, num_events):
        now = datetime.now()
        upcoming_events = []
        for event in self.events:
            if event['start_time'] >= now:
                upcoming_events.append(event)
            if len(upcoming_events) == num_events:
                break
        return upcoming_events",ZeroShot,"```python
from datetime import datetime, timedelta

class CalendarUtil:
    def __init__(self):
        """"""
        Initialize the calendar with an empty list of events.
        """"""
        self.events = []

    def add_event(self, event):
        """"""
        Add an event to the calendar.
        :param event: A dictionary with 'start' and 'end' datetime objects.
        """"""
        self.events.append(event)

    def remove_event(self, event):
        """"""
        Remove an event from the calendar.
        :param event: A dictionary with 'start' and 'end' datetime objects.
        """"""
        self.events.remove(event)

    def get_events(self, date):
        """"""
        Get all events on a given date.
        :param date: A datetime.date object.
        :return: A list of events on the given date.
        """"""
        return [event for event in self.events if event['start'].date() == date]

    def is_available(self, start_time, end_time):
        """"""
        Check if the calendar is available for a given time slot.
        :param start_time: A datetime object for the start of the time slot.
        :param end_time: A datetime object for the end of the time slot.
        :return: True if the calendar is available for the given time slot, False otherwise.
        """"""
        for event in self.events:
            if not (end_time <= event['start'] or start_time >= event['end']):
                return False
        return True

    def get_available_slots(self, date):
        """"""
        Get all available time slots on a given date.
        :param date: A datetime.date object.
        :return: A list of available time slots on the given date.
        """"""
        events_on_date = self.get_events(date)
        events_on_date.sort(key=lambda x: x['start'])

        available_slots = []
        start_of_day = datetime.combine(date, datetime.min.time())
        end_of_day = datetime.combine(date, datetime.max.time())

        current_time = start_of_day

        for event in events_on_date:
            if current_time < event['start']:
                available_slots.append({'start': current_time, 'end': event['start']})
            current_time = max(current_time, event['end'])

        if current_time < end_of_day:
            available_slots.append({'start': current_time, 'end': end_of_day})

        return available_slots

    def get_upcoming_events(self, num_events):
        """"""
        Get the next n upcoming events from the current date and time.
        :param num_events: Number of upcoming events to retrieve.
        :return: A list of the next n upcoming events.
        """"""
        now = datetime.now()
        future_events = [event for event in self.events if event['start'] >= now]
        future_events.sort(key=lambda x: x['start'])
        return future_events[:num_events]
```

- The `add_event` and `remove_event` methods manage the list of events.
- The `get_events` method filters events by a specific date.
- The `is_available` method checks for conflicts in a given time slot.
- The `get_available_slots` method calculates free time slots in a day.
- The `get_upcoming_events` method retrieves the next `n` events from the current time.",0.088642659,0.108027668,0.626666667,0.321917808,0.425339362,0.383333333,0.172932331,0.238341965,0.626666667,0.321917808,0.425339362,,,,,,,,,,,,
GPT,18,"class CamelCaseMap:
    def __init__(self):
        self._data = {}

    def __getitem__(self, key):
        return self._data[self._convert_key(key)]

    def __setitem__(self, key, value):
        self._data[self._convert_key(key)] = value

    def __delitem__(self, key):
        del self._data[self._convert_key(key)]

    def __iter__(self):
        return iter(self._data)

    def __len__(self):
        return len(self._data)

    def _convert_key(self, key):
        if isinstance(key, str):
            return self._to_camel_case(key)
        return key

    @staticmethod
    def _to_camel_case(key):
        parts = key.split('_')
        return parts[0] + ''.join(part.title() for part in parts[1:])",ZeroShot,"```python
class CamelCaseMap:
    def __init__(self):
        """"""
        Initialize data to an empty dictionary
        """"""
        self.data = {}

    def __getitem__(self, key):
        """"""
        Return the value corresponding to the key
        :return: str, the value corresponding to the key
        """"""
        camel_case_key = self._convert_key(key)
        return self.data[camel_case_key]

    def __setitem__(self, key, value):
        """"""
        Set the value corresponding to the key to the specified value
        :return: None
        """"""
        camel_case_key = self._convert_key(key)
        self.data[camel_case_key] = value

    def __delitem__(self, key):
        """"""
        Delete the value corresponding to the key
        :return: None
        """"""
        camel_case_key = self._convert_key(key)
        del self.data[camel_case_key]

    def __iter__(self):
        """"""
        Returning Iterable Objects with Own Data
        :return: Iterator
        """"""
        return iter(self.data)

    def __len__(self):
        """"""
        Returns the length of the own data
        :return: int, length of data
        """"""
        return len(self.data)

    def _convert_key(self, key):
        """"""
        Convert key string into camel case
        :return: str, converted key string
        """"""
        return self._to_camel_case(key)

    @staticmethod
    def _to_camel_case(key):
        """"""
        Convert key string into camel case
        :return: str, converted key string
        """"""
        parts = key.split('_')
        return parts[0] + ''.join(word.capitalize() for word in parts[1:])
```

- `__init__`: Initializes an empty dictionary to store data.
- `__getitem__`: Retrieves a value using a camel case key.
- `__setitem__`: Sets a value for a camel case key.
- `__delitem__`: Deletes an entry using a camel case key.
- `__iter__`: Provides an iterator for the dictionary keys.
- `__len__`: Returns the number of items in the dictionary.
- `_convert_key`: Converts a key to camel case using `_to_camel_case`.
- `_to_camel_case`: Converts a snake_case string to camelCase.",0.067510549,0.085631969,0.76744186,0.323529412,0.45517241,0.540983607,0.181318681,0.271604935,0.76744186,0.323529412,0.45517241,,,,,,,,,,,,
GPT,19,"class ChandrasekharSieve:
    def __init__(self, n):
        self.n = n
        self.primes = self.generate_primes()

    def generate_primes(self):
        if self.n < 2:
            return []

        sieve = [True] * (self.n + 1)
        sieve[0] = sieve[1] = False

        p = 2
        while p * p <= self.n:
            if sieve[p]:
                for i in range(p * p, self.n + 1, p):
                    sieve[i] = False
            p += 1

        primes = []
        for i in range(2, self.n + 1):
            if sieve[i]:
                primes.append(i)

        return primes

    def get_primes(self):
        return self.primes",ZeroShot,"```python
class ChandrasekharSieve:
    def __init__(self, n):
        """"""
        Initialize the ChandrasekharSieve class with the given limit.
        :param n: int, the upper limit to find prime numbers
        """"""
        self.n = n  # Store the upper limit
        self.primes = []  # Initialize an empty list to store prime numbers

    def generate_primes(self):
        """"""
        Generate prime numbers up to the specified limit using the Chandrasekhar sieve algorithm.
        :return: list, a list of prime numbers
        """"""
        if self.n < 2:
            self.primes = []  # No primes less than 2
            return self.primes

        # Initialize a list to track prime status of numbers
        is_prime = [True] * (self.n + 1)
        is_prime[0] = is_prime[1] = False  # 0 and 1 are not prime numbers

        # Implementing the sieve
        for start in range(2, int(self.n**0.5) + 1):
            if is_prime[start]:
                # Mark all multiples of start as non-prime
                for multiple in range(start * start, self.n + 1, start):
                    is_prime[multiple] = False

        # Collecting all prime numbers
        self.primes = [num for num, prime in enumerate(is_prime) if prime]
        return self.primes

    def get_primes(self):
        """"""
        Get the list of generated prime numbers.
        :return: list, a list of prime numbers
        """"""
        return self.primes
```

- The `__init__` method initializes the class with an upper limit `n` and prepares an empty list for storing primes.
- The `generate_primes` method uses a sieve algorithm to mark non-prime numbers and collects primes into the list.
- The `get_primes` method returns the list of generated prime numbers.",0.051282051,0.076388718,0.673913043,0.274336283,0.389937103,0.373333333,0.141414141,0.205128201,0.673913043,0.274336283,0.389937103,,,,,,,,,,,,
GPT,20,"from datetime import datetime

class Chat:
    def __init__(self):
        self.users = {}

    def add_user(self, username):
        if username in self.users:
            return False
        else:
            self.users[username] = []
            return True

    def remove_user(self, username):
        if username in self.users:
            del self.users[username]
            return True
        else:
            return False

    def send_message(self, sender, receiver, message):
        if sender not in self.users or receiver not in self.users:
            return False

        timestamp = datetime.now().strftime(""%Y-%m-%d %H:%M:%S"")
        message_info = {
            'sender': sender,
            'receiver': receiver,
            'message': message,
            'timestamp': timestamp
        }
        self.users[sender].append(message_info)
        self.users[receiver].append(message_info)
        return True

    def get_messages(self, username):
        if username not in self.users:
            return []
        return self.users[username]",ZeroShot,"```python
from datetime import datetime

class Chat:
    def __init__(self):
        """"""
        Initialize the Chat with an attribute users, which is an empty dictionary.
        The dictionary will store usernames as keys and a list of messages as values.
        """"""
        self.users = {}

    def add_user(self, username):
        """"""
        Add a new user to the Chat.
        :param username: The username of the user to add.
        :return: If the user is already in the Chat, returns False, otherwise, returns True.
        """"""
        if username in self.users:
            return False
        else:
            self.users[username] = []  # Initialize the user's message list
            return True

    def remove_user(self, username):
        """"""
        Remove a user from the Chat.
        :param username: The username of the user to remove.
        :return: If the user is already in the Chat, returns True, otherwise, returns False.
        """"""
        if username in self.users:
            del self.users[username]  # Remove the user from the dictionary
            return True
        else:
            return False

    def send_message(self, sender, receiver, message):
        """"""
        Send a message from a user to another user.
        :param sender: The username of the sender.
        :param receiver: The username of the receiver.
        :param message: The content of the message.
        :return: If the sender or the receiver is not in the Chat, returns False, otherwise, returns True.
        """"""
        if sender not in self.users or receiver not in self.users:
            return False
        else:
            # Create a message dictionary with sender, receiver, message, and timestamp
            msg = {
                'sender': sender,
                'receiver': receiver,
                'message': message,
                'timestamp': datetime.now().strftime(""%Y-%m-%d %H:%M:%S"")
            }
            # Append the message to the sender's message list
            self.users[sender].append(msg)
            # Append the message to the receiver's message list
            self.users[receiver].append(msg)
            return True

    def get_messages(self, username):
        """"""
        Get all the messages of a user from the Chat.
        :param username: The username of the user whose messages are to be retrieved.
        :return: A list of messages, each message is a dictionary with keys 'sender', 'receiver', 'message', 'timestamp'.
        """"""
        if username in self.users:
            return self.users[username]  # Return the list of messages for the user
        else:
            return []  # Return an empty list if the user is not found
```",0.163636364,0.18432096,0.959183673,0.388429752,0.552941172,0.769230769,0.256410256,0.384615381,0.959183673,0.388429752,0.552941172,,,,,,,,,,,,
GPT,21,"from datetime import datetime


class Classroom:
    def __init__(self, id):
        self.id = id
        self.courses = []

    def add_course(self, course):

        if course not in self.courses:
            self.courses.append(course)

    def remove_course(self, course):
        if course in self.courses:
            self.courses.remove(course)

    def is_free_at(self, check_time):
        check_time = datetime.strptime(check_time, '%H:%M')

        for course in self.courses:
            if datetime.strptime(course['start_time'], '%H:%M') <= check_time <= datetime.strptime(course['end_time'],
                                                                                                   '%H:%M'):
                return False
        return True

    def check_course_conflict(self, new_course):
        new_start_time = datetime.strptime(new_course['start_time'], '%H:%M')
        new_end_time = datetime.strptime(new_course['end_time'], '%H:%M')

        flag = True
        for course in self.courses:
            start_time = datetime.strptime(course['start_time'], '%H:%M')
            end_time = datetime.strptime(course['end_time'], '%H:%M')
            if start_time <= new_start_time and end_time >= new_start_time:
                flag = False
            if start_time <= new_end_time and end_time >= new_end_time:
                flag = False
        return flag",ZeroShot,"```python
from datetime import datetime

class Classroom:
    def __init__(self, id):
        """"""
        Initialize the classroom management system.
        """"""
        self.id = id
        # Initialize an empty list to store the courses scheduled in this classroom
        self.courses = []

    def add_course(self, course):
        """"""
        Add course to self.courses list if the course wasn't in it.
        """"""
        # Check if the course is not already in the list
        if course not in self.courses:
            # Add the course to the list
            self.courses.append(course)

    def remove_course(self, course):
        """"""
        Remove course from self.courses list if the course was in it.
        """"""
        # Check if the course is in the list
        if course in self.courses:
            # Remove the course from the list
            self.courses.remove(course)

    def is_free_at(self, check_time):
        """"""
        Check if the classroom is free at the given time.
        :param check_time: Time to check in '%H:%M' format.
        :return: True if the check_time does not conflict with any course time, or False otherwise.
        """"""
        # Convert check_time to datetime object for comparison
        check_time = datetime.strptime(check_time, '%H:%M').time()
        
        # Iterate through the courses to check for time conflicts
        for course in self.courses:
            # Assuming each course has 'start_time' and 'end_time' attributes
            start_time = datetime.strptime(course['start_time'], '%H:%M').time()
            end_time = datetime.strptime(course['end_time'], '%H:%M').time()
            
            # Check if the check_time falls within the course time
            if start_time <= check_time < end_time:
                return False
        
        # Return True if no conflict is found
        return True

    def check_course_conflict(self, new_course):
        """"""
        Check if the new course time conflicts with any other course.
        :param new_course: A dictionary with 'start_time' and 'end_time' in '%H:%M' format.
        :return: False if the new course time conflicts with other courses, or True otherwise.
        """"""
        # Convert new course times to datetime objects for comparison
        new_start_time = datetime.strptime(new_course['start_time'], '%H:%M').time()
        new_end_time = datetime.strptime(new_course['end_time'], '%H:%M').time()
        
        # Iterate through the existing courses to check for time conflicts
        for course in self.courses:
            # Assuming each course has 'start_time' and 'end_time' attributes
            start_time = datetime.strptime(course['start_time'], '%H:%M').time()
            end_time = datetime.strptime(course['end_time'], '%H:%M').time()
            
            # Check for overlap in course times
            if (new_start_time < end_time and new_end_time > start_time):
                return False
        
        # Return True if no conflict is found
        return True
```

**Comments:**
- The `Classroom` class manages courses by providing methods to add, remove, and check time conflicts.
- `add_course` and `remove_course` manage the list of courses.
- `is_free_at` checks if a specific time is available in the classroom.
- `check_course_conflict` ensures no time overlap occurs when scheduling new courses.",0.087628866,0.104887161,0.897959184,0.307692308,0.45833333,0.619565217,0.204301075,0.307277624,0.897959184,0.307692308,0.45833333,,,,,,,,,,,,
GPT,22,"class ClassRegistrationSystem:

    def __init__(self):
        self.students = []
        self.students_registration_classes = {}

    def register_student(self, student):
        if student in self.students:
            return 0
        else:
            self.students.append(student)
            return 1

    def register_class(self, student_name, class_name):
        if student_name in self.students_registration_classes:
            self.students_registration_classes[student_name].append(class_name)
        else:
            self.students_registration_classes[student_name] = [class_name]
        return self.students_registration_classes[student_name]

    def get_students_by_major(self, major):
        student_list = []
        for student in self.students:
            if student[""major""] == major:
                student_list.append(student[""name""])
        return student_list

    def get_all_major(self):
        major_list = []
        for student in self.students:
            if student[""major""] not in major_list:
                major_list.append(student[""major""])
        return major_list

    def get_most_popular_class_in_major(self, major):
        class_list = []
        for student in self.students:
            if student[""major""] == major:
                class_list += self.students_registration_classes[student[""name""]]
        most_popular_class = max(set(class_list), key=class_list.count)
        return most_popular_class",ZeroShot,"```python
class ClassRegistrationSystem:

    def __init__(self):
        """"""
        Initialize the registration system with the attribute students and students_registration_class.
        students is a list of student dictionaries, each student dictionary has the key of name and major.
        students_registration_class is a dictionary, key is the student name, value is a list of class names
        """"""
        self.students = []  # List to store student dictionaries
        self.students_registration_class = {}  # Dictionary to store class registrations for each student

    def register_student(self, student):
        """"""
        Register a student to the system, add the student to the students list.
        If the student is already registered, return 0, else return 1.
        """"""
        # Check if the student is already registered
        for s in self.students:
            if s['name'] == student['name']:
                return 0
        # Add the student to the list
        self.students.append(student)
        # Initialize the student's class registration list
        self.students_registration_class[student['name']] = []
        return 1

    def register_class(self, student_name, class_name):
        """"""
        Register a class to the student.
        :return a list of class names that the student has registered
        """"""
        # Check if the student is registered
        if student_name in self.students_registration_class:
            # Add the class to the student's list if not already registered
            if class_name not in self.students_registration_class[student_name]:
                self.students_registration_class[student_name].append(class_name)
            return self.students_registration_class[student_name]
        else:
            # If the student is not found, return an empty list
            return []

    def get_students_by_major(self, major):
        """"""
        Get all students in the major.
        :return a list of student names
        """"""
        # List comprehension to filter students by major
        return [student['name'] for student in self.students if student['major'] == major]

    def get_all_major(self):
        """"""
        Get all majors in the system.
        :return a list of majors
        """"""
        # Use a set to store unique majors
        majors = set(student['major'] for student in self.students)
        return list(majors)

    def get_most_popular_class_in_major(self, major):
        """"""
        Get the class with the highest enrollment in the major.
        :return a string of the most popular class in this major
        """"""
        # Dictionary to count class enrollments
        class_count = {}
        # Iterate over students in the specified major
        for student in self.students:
            if student['major'] == major:
                for class_name in self.students_registration_class.get(student['name'], []):
                    if class_name in class_count:
                        class_count[class_name] += 1
                    else:
                        class_count[class_name] = 1
        # Find the class with the maximum count
        if class_count:
            most_popular_class = max(class_count, key=class_count.get)
            return most_popular_class
        else:
            return None
```",0.047486034,0.062807735,0.7,0.269230769,0.388888885,0.392857143,0.118705036,0.182320438,0.7,0.269230769,0.388888885,,,,,,,,,,,,
